g_song_id,g_artist_id,g_artist_name,g_full_song_title,g_song_title
56,34,Jadakiss,We Gonna Make It by Jadakiss (Ft. Styles P),We Gonna Make It
57,38,Juvenile,Back That Azz Up by Juvenile (Ft. Lil Wayne & Mannie Fresh),Back That Azz Up
58,2,JAY-Z,A Star Is Born by JAY-Z (Ft. J. Cole),A Star Is Born
59,4,Lil Wayne,A Milli by Lil Wayne,A Milli
60,92,Nicki Minaj,I Get Crazy by Nicki Minaj (Ft. Lil Wayne),I Get Crazy
61,2,JAY-Z,Can I Get A… by JAY-Z (Ft. Amil & Ja Rule),Can I Get A…
62,2,JAY-Z,Already Home by JAY-Z (Ft. Kid Cudi),Already Home
63,42,The Game,The Documentary by The Game,The Documentary
64,2,JAY-Z,Feelin' It by JAY-Z (Ft. Mecca),Feelin' It
66,64,Bone Thugs-N-Harmony,"1st of tha Month by Bone Thugs-N-Harmony (Ft. Kimberly Cromartie, Niko Williams & Rebecca Forsha)",1st of tha Month
68,45,Eminem,My Name Is by Eminem,My Name Is
69,46,Snoop Dogg,Lodi Dodi by Snoop Dogg (Ft. Nanci Fletcher),Lodi Dodi
70,32,Ol' Dirty Bastard,Shimmy Shimmy Ya by Ol' Dirty Bastard,Shimmy Shimmy Ya
71,67,Jeezy,Go Crazy by Jeezy (Ft. JAY-Z),Go Crazy
72,3,Fabolous,Suicide by Fabolous,Suicide
73,2,JAY-Z,What We Talkin' About by JAY-Z,What We Talkin' About
74,2,JAY-Z,Run This Town by JAY-Z (Ft. Kanye West & Rihanna),Run This Town
75,2,JAY-Z,Empire State of Mind by JAY-Z (Ft. Alicia Keys),Empire State of Mind
78,2,JAY-Z,Renegade by JAY-Z (Ft. Eminem),Renegade
79,22,The Notorious B.I.G.,Mo' Money Mo' Problems by The Notorious B.I.G. (Ft. Ma$e & Puff Daddy),Mo' Money Mo' Problems
81,74,Twista,Slow Jamz by Twista (Ft. Jamie Foxx & Kanye West),Slow Jamz
82,1,Cam’ron,Spend the Night by Cam’ron,Spend the Night
83,4,Lil Wayne,Mrs. Officer by Lil Wayne (Ft. Bobby V & Kidd Kidd),Mrs. Officer
84,4,Lil Wayne,3 Peat by Lil Wayne,3 Peat
85,83,Fat Joe,"Make It Rain (Remix) by Fat Joe (Ft. Ace Mac, Birdman, Lil Wayne, Rick Ross, R. Kelly & T.I.)",Make It Rain (Remix)
86,72,Kanye West,All Falls Down by Kanye West (Ft. Syleena Johnson),All Falls Down
87,22,The Notorious B.I.G.,One More Chance / Stay With Me (Remix) by The Notorious B.I.G.,One More Chance / Stay With Me (Remix)
88,2,JAY-Z,"Money, Cash, Hoes by JAY-Z (Ft. DMX)","Money, Cash, Hoes"
89,56,Nas,N.Y. State of Mind by Nas,N.Y. State of Mind
90,129,Junior M.A.F.I.A.,Gettin' Money (Get Money Remix) by Junior M.A.F.I.A.,Gettin' Money (Get Money Remix)
91,2,JAY-Z,Allure by JAY-Z,Allure
92,34,Jadakiss,Why? by Jadakiss (Ft. Anthony Hamilton),Why?
93,76,Raekwon,Gihad by Raekwon (Ft. Ghostface Killah),Gihad
95,45,Eminem,Yellow Brick Road by Eminem,Yellow Brick Road
96,59,2Pac,To Live & Die in L.A. by 2Pac (Ft. Val Young),To Live & Die in L.A.
97,4,Lil Wayne,I'm a D-Boy by Lil Wayne (Ft. Birdman),I'm a D-Boy
98,58,Cormega,Tony/Montana by Cormega (Ft. Ghostface Killah),Tony/Montana
99,80,The Diplomats,"Real Niggaz by The Diplomats (Ft. Cam’ron, Jim Jones & Juelz Santana)",Real Niggaz
100,2,JAY-Z,Thank You by JAY-Z,Thank You
102,1,Cam’ron,Get 'Em Girls by Cam’ron,Get 'Em Girls
103,64,Bone Thugs-N-Harmony,Tha Crossroads (D.J. U-Neek's Mo Thug Remix) by Bone Thugs-N-Harmony,Tha Crossroads (D.J. U-Neek's Mo Thug Remix)
104,70,MF DOOM,Angelz by MF DOOM (Ft. Ghostface Killah),Angelz
107,80,The Diplomats,Crunk Muzik by The Diplomats,Crunk Muzik
108,56,Nas,Halftime by Nas,Halftime
109,56,Nas,The World Is Yours by Nas,The World Is Yours
111,64,Bone Thugs-N-Harmony,Thuggish Ruggish Bone by Bone Thugs-N-Harmony (Ft. Shatasha Williams),Thuggish Ruggish Bone
112,86,Birdman,Pop Bottles by Birdman (Ft. Lil Wayne),Pop Bottles
113,1,Cam’ron,Harlem Streets by Cam’ron,Harlem Streets
114,5,Clipse,"Grindin' (Remix) by Clipse (Ft. Birdman, Lil Wayne & N.O.R.E.)",Grindin' (Remix)
115,4,Lil Wayne,Weezy Baby by Lil Wayne (Ft. Nikki Jean),Weezy Baby
116,5,Clipse,Keys Open Doors by Clipse,Keys Open Doors
117,69,J. Cole,Back to the Topic (Freestyle) by J. Cole,Back to the Topic (Freestyle)
119,69,J. Cole,Just to Get By by J. Cole,Just to Get By
120,105,OutKast,Elevators (Me & You) by OutKast,Elevators (Me & You)
121,134,Trillville,Neva Eva (Get On My Level) by Trillville (Ft. Lil Jon & Lil Scrappy),Neva Eva (Get On My Level)
122,42,The Game,Hate It or Love It by The Game (Ft. 50 Cent),Hate It or Love It
123,2,JAY-Z,It's Like That by JAY-Z,It's Like That
124,1,Cam’ron,More Gangsta Music by Cam’ron (Ft. Juelz Santana),More Gangsta Music
126,4,Lil Wayne,Mr. Carter by Lil Wayne (Ft. JAY-Z),Mr. Carter
128,1529,Missy Elliott,The Rain (Supa Dupa Fly) by Missy Elliott (Ft. Timbaland),The Rain (Supa Dupa Fly)
129,115,Chamillionaire,Rain by Chamillionaire (Ft. Billy Cook & Scarface),Rain
131,68,Kid Cudi,Day 'n' Nite (Nightmare) by Kid Cudi,Day 'n' Nite (Nightmare)
132,118,Yo Gotti,"5 Star (Remix) by Yo Gotti (Ft. Gucci Mane, Nicki Minaj & Trina)",5 Star (Remix)
133,85,T.I.,Rubber Band Man by T.I.,Rubber Band Man
134,2,JAY-Z,Ignorant Shit by JAY-Z (Ft. Beanie Sigel),Ignorant Shit
135,2,JAY-Z,Real As It Gets by JAY-Z (Ft. Jeezy),Real As It Gets
136,85,T.I.,Why You Mad At Me? by T.I.,Why You Mad At Me?
138,1,Cam’ron,Losin' Weight by Cam’ron (Ft. Prodigy of Mobb Deep),Losin' Weight
139,123,Dr. Dre,"Bitches Ain't Shit by Dr. Dre (Ft. Tha Dogg Pound, Jewell & Snoop Dogg)",Bitches Ain't Shit
140,1,Cam’ron,Get Em Daddy by Cam’ron (Ft. Hell Rell),Get Em Daddy
141,115,Chamillionaire,Evening News by Chamillionaire,Evening News
142,195,Memphis Bleek,Dear Summer by Memphis Bleek (Ft. JAY-Z),Dear Summer
144,2,JAY-Z,"The Watcher 2 by JAY-Z (Ft. Dr. Dre, Rakim & Truth Hurts)",The Watcher 2
145,129,Junior M.A.F.I.A.,Get Money by Junior M.A.F.I.A. (Ft. Lil' Kim & The Notorious B.I.G.),Get Money
146,2,JAY-Z,Success by JAY-Z (Ft. Nas),Success
147,1487427,"Drake, Kanye West, Lil Wayne & Eminem","Forever by Drake, Kanye West, Lil Wayne & Eminem",Forever
148,132,Usher,Yeah! by Usher (Ft. Lil Jon & Ludacris),Yeah!
149,130,Drake,I'm Goin In by Drake (Ft. Jeezy & Lil Wayne),I'm Goin In
150,161,Big Pun,Still Not A Player by Big Pun (Ft. Joe),Still Not A Player
151,130,Drake,The Calm by Drake,The Calm
152,67,Jeezy,Put On (Remix) by Jeezy (Ft. JAY-Z),Put On (Remix)
153,127,Scarface,On My Block by Scarface,On My Block
154,139,Skee-Lo,I Wish by Skee-Lo,I Wish
155,140,Khia,"My Neck, My Back (Lick It) by Khia","My Neck, My Back (Lick It)"
156,22,The Notorious B.I.G.,What's Beef? by The Notorious B.I.G.,What's Beef?
157,2,JAY-Z,Heart of the City (Ain't No Love) by JAY-Z,Heart of the City (Ain't No Love)
159,142,Master P,"Captain Kirk by Master P (Ft. Fiend, Mystikal & Silkk the Shocker)",Captain Kirk
160,119,Beanie Sigel,What You Talkin Bout? (I Ain't Ya Average Cat) by Beanie Sigel,What You Talkin Bout? (I Ain't Ya Average Cat)
162,32,Ol' Dirty Bastard,Got Your Money by Ol' Dirty Bastard (Ft. Kelis),Got Your Money
163,123,Dr. Dre,"Let Me Ride by Dr. Dre (Ft. Jewell, Ruben Cruz & Snoop Dogg)",Let Me Ride
164,4,Lil Wayne,This is the Carter by Lil Wayne (Ft. Mannie Fresh),This is the Carter
165,147,Lupe Fiasco,Hurt Me Soul by Lupe Fiasco,Hurt Me Soul
166,148,Nelly,Ride Wit Me by Nelly (Ft. City Spud),Ride Wit Me
167,46,Snoop Dogg,Gin and Juice by Snoop Dogg,Gin and Juice
168,108,50 Cent,21 Questions by 50 Cent (Ft. Nate Dogg),21 Questions
169,2,JAY-Z,Roc Boys (And the Winner Is)... by JAY-Z,Roc Boys (And the Winner Is)...
170,150,Madvillain,Rhinestone Cowboy by Madvillain,Rhinestone Cowboy
172,2,JAY-Z,Takeover by JAY-Z,Takeover
174,2,JAY-Z,The Ruler's Back by JAY-Z,The Ruler's Back
175,22,The Notorious B.I.G.,Gimme the Loot by The Notorious B.I.G.,Gimme the Loot
177,156,Yasiin Bey,BET Cypher by Yasiin Bey (Ft. Black Thought & Eminem),BET Cypher
178,4,Lil Wayne,D.O.A. by Lil Wayne,D.O.A.
179,2,JAY-Z,Brooklyn's Finest by JAY-Z (Ft. The Notorious B.I.G.),Brooklyn's Finest
180,123,Dr. Dre,Still D.R.E. by Dr. Dre (Ft. Snoop Dogg),Still D.R.E.
181,2,JAY-Z,Hard Knock Life (Ghetto Anthem) by JAY-Z,Hard Knock Life (Ghetto Anthem)
182,2,JAY-Z,"Swagga Like Us by JAY-Z (Ft. Kanye West, Lil Wayne & T.I.)",Swagga Like Us
183,158,DJ Khaled,"We Takin' Over by DJ Khaled (Ft. Akon, Birdman, Fat Joe, Lil Wayne, Rick Ross & T.I.)",We Takin' Over
184,4,Lil Wayne,Dr. Carter by Lil Wayne,Dr. Carter
186,21,Wu-Tang Clan,Protect Ya Neck by Wu-Tang Clan,Protect Ya Neck
187,161,Big Pun,Boomerang by Big Pun,Boomerang
188,4,Lil Wayne,Georgia... Bush by Lil Wayne,Georgia... Bush
189,2,JAY-Z,Venus vs. Mars by JAY-Z,Venus vs. Mars
191,22,The Notorious B.I.G.,Big Poppa by The Notorious B.I.G.,Big Poppa
192,1,Cam’ron,Bubble Music by Cam’ron,Bubble Music
193,1,Cam’ron,We Make Change by Cam’ron (Ft. Juelz Santana),We Make Change
194,103,Big L,Ebonics by Big L,Ebonics
195,2,JAY-Z,Dead Presidents II by JAY-Z,Dead Presidents II
196,1,Cam’ron,Living A Lie by Cam’ron (Ft. Mo' Money (USA)),Living A Lie
197,167,Project Pat,Smoke and Get High by Project Pat (Ft. Crunchy Black & Three 6 Mafia),Smoke and Get High
198,45,Eminem,Role Model by Eminem,Role Model
199,2,JAY-Z,Where I'm From by JAY-Z,Where I'm From
200,5,Clipse,Chinese New Year by Clipse (Ft. Roscoe P. Coldchain),Chinese New Year
201,46,Snoop Dogg,"Ain't No Fun (If the Homies Can't Have None) by Snoop Dogg (Ft. Kurupt, Nanci Fletcher, Nate Dogg & Warren G)",Ain't No Fun (If the Homies Can't Have None)
202,169,Warren G,Regulate by Warren G (Ft. Nate Dogg),Regulate
204,173,Slaughterhouse,Onslaught by Slaughterhouse,Onslaught
205,2,JAY-Z,What More Can I Say by JAY-Z,What More Can I Say
206,1,Cam’ron,"Leave Me Alone, Pt. 2 by Cam’ron","Leave Me Alone, Pt. 2"
207,45,Eminem,Lose Yourself by Eminem,Lose Yourself
208,5,Clipse,Kinda Like a Big Deal by Clipse (Ft. Kanye West),Kinda Like a Big Deal
209,5,Clipse,Popular Demand (Popeyes) by Clipse (Ft. Cam’ron & Pharrell Williams),Popular Demand (Popeyes)
210,4,Lil Wayne,The Rapper Eater by Lil Wayne,The Rapper Eater
211,5,Clipse,Young Boy by Clipse (Ft. Pharrell Williams),Young Boy
212,5,Clipse,Nightmares by Clipse (Ft. Bilal & Pharrell Williams),Nightmares
213,59,2Pac,Changes by 2Pac (Ft. Talent),Changes
214,22,The Notorious B.I.G.,Party and Bullshit by The Notorious B.I.G.,Party and Bullshit
215,4,Lil Wayne,Ice Cream by Lil Wayne,Ice Cream
216,1,Cam’ron,Get It In Ohio by Cam’ron,Get It In Ohio
217,46,Snoop Dogg,T'was the Night Before Christmas by Snoop Dogg (Ft. Nate Dogg),T'was the Night Before Christmas
218,4,Lil Wayne,Wayne on Me by Lil Wayne (Ft. Shanell),Wayne on Me
219,1,Cam’ron,Soap Opera by Cam’ron,Soap Opera
221,22,The Notorious B.I.G.,Notorious Thugs by The Notorious B.I.G. (Ft. Bone Thugs-N-Harmony),Notorious Thugs
222,179,Joe Budden,Dumb Out by Joe Budden,Dumb Out
223,59,2Pac,Hail Mary by 2Pac (Ft. Outlawz & Prince Ital Joe),Hail Mary
224,181,Bob Dylan,Subterranean Homesick Blues by Bob Dylan,Subterranean Homesick Blues
225,56,Nas,Ether by Nas,Ether
226,78,Juelz Santana,Mixing Up the Medicine by Juelz Santana (Ft. Yelawolf),Mixing Up the Medicine
227,22,The Notorious B.I.G.,One More Chance by The Notorious B.I.G.,One More Chance
228,184,Swizz Beatz,It's Me Bitches by Swizz Beatz,It's Me Bitches
229,92,Nicki Minaj,Beam Me Up Scotty by Nicki Minaj,Beam Me Up Scotty
230,67,Jeezy,Thug Motivation 101 by Jeezy,Thug Motivation 101
231,56,Nas,Life's a Bitch by Nas (Ft. AZ),Life's a Bitch
232,78,Juelz Santana,Let's Go (From Me to U) by Juelz Santana (Ft. Cam’ron),Let's Go (From Me to U)
233,108,50 Cent,In Da Club by 50 Cent,In Da Club
234,4,Lil Wayne,No Ceilings (Pop That) by Lil Wayne (Ft. Birdman),No Ceilings (Pop That)
235,2,JAY-Z,Miss You (Remix) by JAY-Z,Miss You (Remix)
236,2,JAY-Z,Hello Brooklyn 2.0 by JAY-Z (Ft. Lil Wayne),Hello Brooklyn 2.0
237,186,Ice Cube,It Was a Good Day by Ice Cube,It Was a Good Day
238,72,Kanye West,Through the Wire by Kanye West,Through the Wire
239,186,Ice Cube,The Nigga Ya Love to Hate by Ice Cube,The Nigga Ya Love to Hate
240,18,Big Tymers,Still Fly by Big Tymers,Still Fly
241,123,Dr. Dre,Keep Their Heads Ringin' by Dr. Dre (Ft. Nanci Fletcher),Keep Their Heads Ringin'
242,187,Tom Tom Club,Wordy Rappinghood by Tom Tom Club,Wordy Rappinghood
243,974,N.W.A,Fuck tha Police by N.W.A,Fuck tha Police
244,59,2Pac,California Love by 2Pac (Ft. Dr. Dre & Roger Troutman),California Love
245,86,Birdman,Money to Blow by Birdman (Ft. Drake & Lil Wayne),Money to Blow
246,123,Dr. Dre,Nuthin' But a 'G' Thang by Dr. Dre (Ft. Snoop Dogg),Nuthin' But a 'G' Thang
247,190,Mystikal,Bouncin' Back (Bumpin' Me Against The Wall) by Mystikal,Bouncin' Back (Bumpin' Me Against The Wall)
248,411,Lil' Kim,Not Tonight by Lil' Kim,Not Tonight
249,72,Kanye West,Big Brother by Kanye West,Big Brother
250,4,Lil Wayne,Go DJ by Lil Wayne (Ft. Mannie Fresh),Go DJ
251,59,2Pac,I Get Around by 2Pac (Ft. Digital Underground),I Get Around
252,4,Lil Wayne,Run This Town by Lil Wayne,Run This Town
253,2,JAY-Z,Moment of Clarity by JAY-Z,Moment of Clarity
254,22,The Notorious B.I.G.,The World Is Filled... by The Notorious B.I.G. (Ft. Puff Daddy & Too $hort),The World Is Filled...
255,3,Fabolous,"Keepin' it Gangsta (Remix) by Fabolous (Ft. Jadakiss, M.O.P., Paul Cain & Styles P)",Keepin' it Gangsta (Remix)
256,21,Wu-Tang Clan,Dog Shit by Wu-Tang Clan,Dog Shit
257,108,50 Cent,How to Rob by 50 Cent (Ft. The Madd Rapper),How to Rob
258,111,Ludacris,Southern Hospitality by Ludacris (Ft. Pharrell Williams),Southern Hospitality
259,78,Juelz Santana,Losin' My Love by Juelz Santana,Losin' My Love
260,2,JAY-Z,Hey Papi by JAY-Z (Ft. Amil & Memphis Bleek),Hey Papi
261,197,Young Money,BedRock by Young Money (Ft. Lloyd),BedRock
263,22,The Notorious B.I.G.,Kick in the Door by The Notorious B.I.G.,Kick in the Door
264,4,Lil Wayne,Ain't Got Time by Lil Wayne,Ain't Got Time
265,2,JAY-Z,Izzo (H.O.V.A.) by JAY-Z,Izzo (H.O.V.A.)
266,2,JAY-Z,A Week Ago by JAY-Z (Ft. Too $hort),A Week Ago
267,2,JAY-Z,Can't Knock the Hustle by JAY-Z (Ft. Mary J. Blige & Pain In Da Ass),Can't Knock the Hustle
268,2,JAY-Z,Politics as Usual by JAY-Z,Politics as Usual
269,2,JAY-Z,22 Two's by JAY-Z,22 Two's
272,2,JAY-Z,Ain't No Nigga by JAY-Z (Ft. Foxy Brown),Ain't No Nigga
273,2,JAY-Z,Friend or Foe by JAY-Z,Friend or Foe
274,2,JAY-Z,Coming of Age by JAY-Z (Ft. Memphis Bleek),Coming of Age
275,2,JAY-Z,Cashmere Thoughts by JAY-Z,Cashmere Thoughts
276,2,JAY-Z,Bring It On by JAY-Z (Ft. Jaz-O & Sauce Money),Bring It On
277,2,JAY-Z,Regrets by JAY-Z,Regrets
278,2,JAY-Z,Can I Live II by JAY-Z (Ft. Memphis Bleek),Can I Live II
279,2,JAY-Z,Can't Knock the Hustle (Remix) by JAY-Z,Can't Knock the Hustle (Remix)
280,203,Public Enemy,Burn Hollywood Burn by Public Enemy (Ft. Big Daddy Kane & Ice Cube),Burn Hollywood Burn
282,45,Eminem,Marshall Mathers by Eminem,Marshall Mathers
283,127,Scarface,Guess Who's Back by Scarface (Ft. Beanie Sigel & JAY-Z),Guess Who's Back
284,20,Ghostface Killah,The Champ by Ghostface Killah,The Champ
285,3,Fabolous,I Came for the Money by Fabolous,I Came for the Money
286,59,2Pac,Bomb First (My Second Reply) by 2Pac (Ft. Outlawz),Bomb First (My Second Reply)
287,34,Jadakiss,Death Wish by Jadakiss (Ft. Lil Wayne),Death Wish
288,179,Joe Budden,6 Minutes of Death by Joe Budden (Ft. Jae Millz & Stack Bundles),6 Minutes of Death
289,203,Public Enemy,Welcome to the Terrordome by Public Enemy,Welcome to the Terrordome
290,22,The Notorious B.I.G.,I Love the Dough by The Notorious B.I.G. (Ft. Angela Winbush & JAY-Z),I Love the Dough
291,209,Canibus,Second Round K.O. by Canibus (Ft. Mike Tyson),Second Round K.O.
292,20,Ghostface Killah,Shakey Dog by Ghostface Killah,Shakey Dog
293,13,Gucci Mane,Lemonade by Gucci Mane,Lemonade
294,210,Das EFX,Mic Checka by Das EFX,Mic Checka
295,211,Red Cafe,I'm Ill by Red Cafe (Ft. Fabolous),I'm Ill
296,22,The Notorious B.I.G.,Niggas Bleed by The Notorious B.I.G.,Niggas Bleed
297,186,Ice Cube,Steady Mobbin' by Ice Cube,Steady Mobbin'
298,161,Big Pun,Twinz (Deep Cover '98) by Big Pun (Ft. Fat Joe),Twinz (Deep Cover '98)
299,92,Nicki Minaj,Cuchi Shop by Nicki Minaj,Cuchi Shop
304,217,DJ Quik,I Used to Know Her by DJ Quik (Ft. AMG),I Used to Know Her
305,220,Gang Starr,Work by Gang Starr,Work
307,4,Lil Wayne,You Ain't Got Nuthin' by Lil Wayne (Ft. Fabolous & Juelz Santana),You Ain't Got Nuthin'
308,22,The Notorious B.I.G.,Dead Wrong by The Notorious B.I.G. (Ft. Eminem),Dead Wrong
309,223,Common,I Used to Love H.E.R. by Common,I Used to Love H.E.R.
310,225,De La Soul,Stakes is High by De La Soul,Stakes is High
311,186,Ice Cube,I'm Only Out for One Thang by Ice Cube (Ft. Flavor Flav),I'm Only Out for One Thang
312,59,2Pac,"Got My Mind Made Up by 2Pac (Ft. Tha Dogg Pound, Method Man & Redman)",Got My Mind Made Up
313,3,Fabolous,Breathe by Fabolous,Breathe
314,230,Cassidy,I'm a Hustla by Cassidy,I'm a Hustla
315,714,Method Man & Redman,How High by Method Man & Redman,How High
316,249,Ma$e,"24 Hours to Live by Ma$e (Ft. Black Rob, DMX, The LOX & Puff Daddy)",24 Hours to Live
320,59,2Pac,Hit 'Em Up by 2Pac (Ft. Outlawz),Hit 'Em Up
321,238,Immortal Technique,Obnoxious by Immortal Technique,Obnoxious
322,130,Drake,Over by Drake,Over
324,123,Dr. Dre,What's the Difference by Dr. Dre (Ft. Eminem & Xzibit),What's the Difference
325,240,Reflection Eternal,In This World by Reflection Eternal,In This World
326,46,Snoop Dogg,"Doggy Dogg World by Snoop Dogg (Ft. Tha Dogg Pound, The Dramatics & Nanci Fletcher)",Doggy Dogg World
329,244,The Roots,Don't Feel Right by The Roots (Ft. Maimouna Youssef),Don't Feel Right
330,59,2Pac,Letter 2 My Unborn by 2Pac,Letter 2 My Unborn
331,191,Too $hort,Cocktales by Too $hort,Cocktales
332,34,Jadakiss,"Welcome to D-Block by Jadakiss (Ft. Eminem, Sheek Louch & Styles P)",Welcome to D-Block
333,4,Lil Wayne,Drop the World by Lil Wayne (Ft. Eminem),Drop the World
334,85,T.I.,I'm Back by T.I.,I'm Back
335,108,50 Cent,Patiently Waiting by 50 Cent (Ft. Eminem),Patiently Waiting
336,351975,Kool G. Rap & DJ Polo,Riker's Island by Kool G. Rap & DJ Polo,Riker's Island
338,2,JAY-Z,A Million and One Questions (Remix) by JAY-Z,A Million and One Questions (Remix)
339,2,JAY-Z,Beware (Jay-Z Remix) by JAY-Z,Beware (Jay-Z Remix)
340,3,Fabolous,Can't Deny It by Fabolous (Ft. Nate Dogg),Can't Deny It
342,1,Cam’ron,Welcome to New York City by Cam’ron (Ft. JAY-Z & Juelz Santana),Welcome to New York City
343,204,Foxy Brown,Hot Spot by Foxy Brown,Hot Spot
346,2,JAY-Z,Dynasty (Intro) by JAY-Z,Dynasty (Intro)
347,250,Freeway,What We Do by Freeway (Ft. Beanie Sigel & JAY-Z),What We Do
348,251,Mobb Deep,Survival of the Fittest by Mobb Deep,Survival of the Fittest
349,2,JAY-Z,Big Pimpin' by JAY-Z (Ft. UGK),Big Pimpin'
350,4,Lil Wayne,Swag Surf by Lil Wayne,Swag Surf
351,236,Dead Prez,Hell Yeah (Remix) by Dead Prez (Ft. JAY-Z),Hell Yeah (Remix)
352,16275,Sensato,"Watagatapitusberry (Remix) by Sensato (Ft. Black Jonas Point, El Cata, Lil Jon & Pitbull)",Watagatapitusberry (Remix)
353,103,Big L,The Heist by Big L,The Heist
355,255,Lloyd Banks,"Beamer, Benz, or Bentley Remix by Lloyd Banks (Ft. Fabolous & Juelz Santana)","Beamer, Benz, or Bentley Remix"
356,13,Gucci Mane,Bingo by Gucci Mane (Ft. Soulja Boy & Waka Flocka Flame),Bingo
357,13,Gucci Mane,Volume by Gucci Mane (Ft. Wooh da Kid),Volume
358,3,Fabolous,Pachanga by Fabolous,Pachanga
359,203,Public Enemy,Bring the Noise by Public Enemy,Bring the Noise
360,13,Gucci Mane,Gingerbread Man by Gucci Mane (Ft. OJ da Juiceman),Gingerbread Man
361,13,Gucci Mane,I Think I'm In Love by Gucci Mane (Ft. Jason Caesar),I Think I'm In Love
362,4,Lil Wayne,I'm Single by Lil Wayne,I'm Single
366,82,Puff Daddy,"It's All About the Benjamins (Remix) by Puff Daddy (Ft. Lil' Kim, The LOX & The Notorious B.I.G.)",It's All About the Benjamins (Remix)
367,59,2Pac,Runnin' (Dying to Live) by 2Pac (Ft. The Notorious B.I.G.),Runnin' (Dying to Live)
