,g_song_id,writer_id,writer_name
89,39,4,Lil Wayne
90,40,146,Mannie Fresh
91,40,7560,Reel
92,40,4,Lil Wayne
93,42,72,Kanye West
94,42,27452,Plain Pat
95,42,2532,Santigold
96,42,2,JAY-Z
97,43,1436,MC Ren
98,43,28925,Trackmasters
99,43,431037,James Mtume
100,43,82,Puff Daddy
101,43,22,The Notorious B.I.G.
102,44,4709,No I.D.
103,44,1141935,Dave Sucky
104,44,657469,Dale Frashuer
105,44,978694,Gary DeCarlo
106,44,516571,Janko Nilović
107,44,181951,Paul Leka
108,44,2,JAY-Z
109,45,644506,George Johnson
110,45,66180,Billy Preston
111,45,7596,DJ Enuff
112,45,82,Puff Daddy
113,45,8597,Stevie J
114,45,22,The Notorious B.I.G.
115,46,22,The Notorious B.I.G.
116,46,82,Puff Daddy
117,47,32,Ol' Dirty Bastard
118,48,5839,Easy Mo Bee
119,48,228,Method Man
120,48,22,The Notorious B.I.G.
121,50,3,Fabolous
122,50,30963,Rick Rock
123,51,2260,DJ Premier
124,51,22,The Notorious B.I.G.
125,52,193,Paul Cain
126,52,179,Joe Budden
127,52,3,Fabolous
128,53,26832,Chad Hugo
129,53,34,Jadakiss
130,53,110,Pharrell Williams
131,54,27434,Jeff Bhasker
132,54,72,Kanye West
133,54,2,JAY-Z
134,56,34,Jadakiss
135,57,146,Mannie Fresh
136,57,4,Lil Wayne
137,57,38,Juvenile
138,58,4709,No I.D.
139,58,642655,M. Jordan
140,58,72,Kanye West
141,58,69,J. Cole
142,58,2,JAY-Z
143,59,27665,Bangladesh
144,59,4,Lil Wayne
145,60,92,Nicki Minaj
146,60,4,Lil Wayne
147,61,644356,R. Mays
148,61,183,Ja Rule
149,61,644355,I. Lorenzo
150,61,2,JAY-Z
151,62,4709,No I.D.
152,62,68,Kid Cudi
153,62,72,Kanye West
154,62,2,JAY-Z
155,63,42,The Game
156,63,27434,Jeff Bhasker
157,64,12991,Ski Beatz
158,64,2,JAY-Z
159,66,554578,Michael J. Powell
160,66,9120,DJ U-Neek
161,66,2457,Wish Bone
162,66,2458,Bizzy Bone
163,66,2459,Layzie Bone
164,66,350,Krayzie Bone
165,68,27637,Labi Siffre
166,68,123,Dr. Dre
167,68,45,Eminem
168,69,992108,Hachidai Nakamura
169,69,1058461,Rokusuke Ei
170,69,306,Slick Rick
171,69,23207,Nanci Fletcher
172,69,46,Snoop Dogg
173,70,307,RZA
174,70,32,Ol' Dirty Bastard
175,71,2,JAY-Z
176,71,67,Jeezy
177,71,23691,DJ Don Cannon
178,73,4709,No I.D.
179,73,72,Kanye West
180,73,642634,F. Mercier
181,73,642633,K. Randolph
182,73,2,JAY-Z
183,74,27434,Jeff Bhasker
184,74,4709,No I.D.
185,74,89,Rihanna
186,74,72,Kanye West
187,74,2,JAY-Z
188,75,9909,Sylvia Robinson
189,75,412297,Bert Keyes
190,75,642646,J. Sewell-Ulepic
191,75,642645,A. Hunte
192,75,362,Alicia Keys
193,75,642644,A Shuckburgh
194,75,2,JAY-Z
195,78,45,Eminem
196,78,2,JAY-Z
197,79,1436,MC Ren
198,79,8597,Stevie J
199,79,34636,Nile Rodgers
200,79,189401,Bernard Edwards
201,79,249,Ma$e
202,79,82,Puff Daddy
203,79,22,The Notorious B.I.G.
204,81,74,Twista
205,81,72,Kanye West
206,81,73335,Burt Bacharach
207,81,412388,Hal David
208,82,1,Cam’ron
209,83,415,Bobby V
210,83,882,Kidd Kidd
211,83,27664,Deezle
212,83,647210,Darius Harrison
213,83,4,Lil Wayne
214,84,4,Lil Wayne
215,85,83,Fat Joe
216,85,158,DJ Khaled
217,85,535,R. Kelly
218,85,10461,Danja
219,85,4,Lil Wayne
220,85,85,T.I.
221,85,86,Birdman
222,85,88,Rick Ross
223,86,448,Lauryn Hill
224,86,72,Kanye West
225,87,22,The Notorious B.I.G.
226,87,82,Puff Daddy
227,87,42117,Rashad Smith
228,87,983543,Bunny DeBarge
229,87,391468,Mark DeBarge
230,88,184,Swizz Beatz
231,88,77,DMX
232,88,2,JAY-Z
233,89,56,Nas
234,89,2260,DJ Premier
235,90,411,Lil' Kim
236,90,22,The Notorious B.I.G.
237,90,3840,Lil' Cease
238,91,26832,Chad Hugo
239,91,110,Pharrell Williams
240,91,2,JAY-Z
241,92,1714,Anthony Hamilton
242,92,990735,Pierre Moerlen
243,92,1555,Havoc
244,92,34,Jadakiss
245,93,20,Ghostface Killah
246,93,76,Raekwon
247,95,45,Eminem
248,96,35704,QDIII
249,96,2657,Val Young
250,96,59,2Pac
251,97,4,Lil Wayne
252,99,34392,Leon Huff
253,99,41465,Kenneth Gamble
254,99,32916,D/R Period
255,99,79,Jim Jones
256,99,78,Juelz Santana
257,99,1,Cam’ron
258,100,4709,No I.D.
259,100,72,Kanye West
260,100,2,JAY-Z
261,102,1,Cam’ron
262,103,49857,Chris Jasper
263,103,49856,Rudolph Isley
264,103,2668,Ronald Isley
265,103,398699,O'Kelly Isley
266,103,398701,Marvin Isley
267,103,649699,Ernie Isley
268,103,2457,Wish Bone
269,103,2459,Layzie Bone
270,103,350,Krayzie Bone
271,103,2458,Bizzy Bone
272,104,70,MF DOOM
273,104,20,Ghostface Killah
274,107,1,Cam’ron
275,107,78,Juelz Santana
276,107,79,Jim Jones
277,108,352997,Gary Byrd
278,108,1056,Large Professor
279,108,56,Nas
280,109,100,Pete Rock
281,109,56,Nas
282,111,2458,Bizzy Bone
283,111,350,Krayzie Bone
284,111,2457,Wish Bone
285,111,2459,Layzie Bone
286,112,4,Lil Wayne
287,112,86,Birdman
288,112,17764,Jason Derulo
289,113,54889,Ty-Tracks
290,113,68440,Mike Post
291,113,1,Cam’ron
292,114,4,Lil Wayne
293,114,86,Birdman
294,114,403,N.O.R.E.
295,114,20314,No Malice
296,114,26832,Chad Hugo
297,114,110,Pharrell Williams
298,114,643,Pusha-T
299,115,4,Lil Wayne
300,115,993,Nikki Jean
301,116,20314,No Malice
302,116,643,Pusha-T
303,116,110,Pharrell Williams
304,117,69,J. Cole
305,119,69,J. Cole
306,120,14266,André 3000
307,120,318,Big Boi
308,121,135,Lil Scrappy
309,121,134,Trillville
310,121,107,Lil Jon
311,122,42,The Game
312,122,108,50 Cent
313,122,49606,Cool (Producer)
314,122,523,Dre
315,123,1179184,Frank Friedman
316,123,3617,Kid Capri
317,123,2,JAY-Z
318,124,78,Juelz Santana
319,124,1,Cam’ron
320,126,27668,Drew Correa
321,126,2,JAY-Z
322,126,647216,S. Prescott
323,126,195546,Infamous
324,126,4,Lil Wayne
325,128,669425,Bernard Miller
326,128,36895,Ann Peebles
327,128,669424,Don Bryant
328,128,1529,Missy Elliott
329,128,112,Timbaland
330,129,127,Scarface
331,129,1367710,Billy Crook
332,129,115,Chamillionaire
333,131,11845,Dot Da Genius
334,131,68,Kid Cudi
335,132,118,Yo Gotti
336,132,13,Gucci Mane
337,132,92,Nicki Minaj
338,132,117,Trina
339,133,1013248,Lavell Crump
340,133,85,T.I.
341,134,649699,Ernie Isley
342,134,2,JAY-Z
343,134,119,Beanie Sigel
344,134,1954,Just Blaze
345,134,2668,Ronald Isley
346,134,398701,Marvin Isley
347,134,398699,O'Kelly Isley
348,134,49856,Rudolph Isley
349,134,49857,Chris Jasper
350,135,27629,DJ Nasty
351,135,963298,Maurice Carpenter
352,135,4116,Lee Major
353,135,67,Jeezy
354,135,2,JAY-Z
355,136,85,T.I.
356,138,122,Prodigy of Mobb Deep
357,138,1,Cam’ron
358,139,37136,Colin Wolfe
359,139,123,Dr. Dre
360,139,46,Snoop Dogg
361,139,3431,Daz Dillinger
362,139,170,Kurupt
363,139,1129,​The D.O.C.
364,141,115,Chamillionaire
365,142,2,JAY-Z
366,144,123,Dr. Dre
367,144,10233,Scott Storch
368,144,1339,Ab-Liva
369,144,126,Rakim
370,144,2,JAY-Z
371,145,6226,Roy Ayers
372,145,993922,James Bedford
373,145,334158,Sylvia Striplin
374,145,34274,EZ Elpee
375,145,411,Lil' Kim
376,145,22,The Notorious B.I.G.
377,146,4709,No I.D.
378,146,1297605,Larry Ellis
379,146,56,Nas
380,146,2,JAY-Z
381,147,662,Boi-1da
382,147,4,Lil Wayne
383,147,45,Eminem
384,147,72,Kanye West
385,147,130,Drake
386,148,27519,LRoc
387,148,111,Ludacris
388,148,107,Lil Jon
389,148,398457,James Phillips
390,148,65025,LaMarquis Jefferson
391,148,2147,Sean Garrett
392,148,58280,Robert McDowell
393,149,1274,Nickelus F
394,149,130,Drake
395,149,67,Jeezy
396,149,4,Lil Wayne
397,150,27507,Knobody
398,150,161,Big Pun
399,151,27612,40
400,151,130,Drake
401,152,67,Jeezy
402,152,2,JAY-Z
403,152,7898,Drumma Boy
404,153,127,Scarface
405,154,1120751,Alvin Flythe Jr.
406,154,34708,Malcolm McLaren
407,154,32550,Trevor Horn
408,154,35496,Anne Dudley
409,154,139,Skee-Lo
410,155,140,Khia
411,156,29881,Nashiem Myrick
412,156,10128,"Carlos ""6 July"" Broady"
413,156,22,The Notorious B.I.G.
414,157,642147,D. Walsh
415,157,642146,M. Price
416,157,72,Kanye West
417,157,2,JAY-Z
418,159,3355,Silkk the Shocker
419,159,1141,Fiend
420,159,190,Mystikal
421,159,142,Master P
422,160,119,Beanie Sigel
423,162,32,Ol' Dirty Bastard
424,162,26832,Chad Hugo
425,162,110,Pharrell Williams
426,163,46,Snoop Dogg
427,163,1149,RBX
428,164,146,Mannie Fresh
429,164,4,Lil Wayne
430,165,147,Lupe Fiasco
431,166,148,Nelly
432,166,8939,City Spud
433,166,179664,"Jason ""Jay E"" Epperson"
434,167,153917,Emanuel Dean
435,167,123,Dr. Dre
436,167,1129,​The D.O.C.
437,167,1019216,Lil David Ruffin
438,167,3431,Daz Dillinger
439,167,419133,Richard Finch
440,167,989735,Henry Wayne Casey
441,168,411837,Kevin Risto
442,168,108,50 Cent
443,169,8576,Cassie
444,169,82,Puff Daddy
445,169,72,Kanye West
446,169,642209,B. Mann
447,169,642208,L. Michels
448,169,642207,M. Deller
449,169,642206,D. Guy
450,169,642205,T. Brenneck
451,169,642191,L. Coppin
452,169,642190,D. Matthews
453,169,2,JAY-Z
454,170,70,MF DOOM
455,172,2,JAY-Z
456,172,72,Kanye West
457,174,27438,Bink!
458,174,977932,Phil Hurtt
459,174,119098,Bunny Sigler
460,174,2,JAY-Z
461,175,5839,Easy Mo Bee
462,175,22,The Notorious B.I.G.
463,177,156,Yasiin Bey
464,177,176,Black Thought
465,177,45,Eminem
466,178,4,Lil Wayne
467,179,644802,"Marvin ""Merv"" Pierce"
468,179,574310,"Marshall ""Rock"" Jones"
469,179,632258,Junie Morrison
470,179,1082477,Andrew Noland
471,179,1082476,Greg Webster
472,179,574309,"Leroy ""Sugarfoot"" Bonner"
473,179,574311,"Ralph ""Pee Wee"" Middlebrooks"
474,179,27594,Clark Kent
475,179,22,The Notorious B.I.G.
476,179,2,JAY-Z
477,180,46,Snoop Dogg
478,180,123,Dr. Dre
479,180,2,JAY-Z
480,181,375904,Charles Strouse
481,181,631712,Martin Charnin
482,181,49837,James H. Billington
483,181,2,JAY-Z
484,182,85,T.I.
485,182,72,Kanye West
486,182,2,JAY-Z
487,182,4,Lil Wayne
488,182,1042,M.I.A.
489,182,669410,Topper Headon
490,182,35064,Mick Jones
491,182,86678,Joe Strummer
492,182,12908,Diplo
493,182,152816,Paul Simonon
494,183,37001,Danjah
495,183,112,Timbaland
496,183,88,Rick Ross
497,183,85,T.I.
498,183,4,Lil Wayne
499,183,86,Birdman
500,183,83,Fat Joe
501,184,4,Lil Wayne
502,186,32,Ol' Dirty Bastard
503,186,228,Method Man
504,186,508,Inspectah Deck
505,186,507,GZA
506,186,307,RZA
507,186,20,Ghostface Killah
508,186,76,Raekwon
509,186,1060,U-God
510,187,1512140,The Mighty V.I.C.
511,187,83,Fat Joe
512,187,161,Big Pun
513,188,4,Lil Wayne
514,189,112,Timbaland
515,189,21903,J-Roc
516,189,2,JAY-Z
517,191,649699,Ernie Isley
518,191,22,The Notorious B.I.G.
519,191,49857,Chris Jasper
520,191,49856,Rudolph Isley
521,191,2668,Ronald Isley
522,191,398699,O'Kelly Isley
523,191,398701,Marvin Isley
524,192,552286,DAVID HINDS
525,192,1045244,Lawrence Simpson
526,192,646824,Mike Miller
527,192,1,Cam’ron
528,193,78,Juelz Santana
529,193,1,Cam’ron
530,194,103,Big L
531,194,335,Ron Browz
532,195,100,Pete Rock
533,195,6218,Lonnie Liston Smith
534,195,56,Nas
535,195,12991,Ski Beatz
536,195,2,JAY-Z
537,198,2470,Mel-Man
538,198,123,Dr. Dre
539,198,45,Eminem
540,199,38018,Norman Whitfield
541,199,6708,"Deric ""D-Dot"" Angelettie"
542,199,644779,R. Lawrence
543,199,2,JAY-Z
544,200,4613,Roscoe P. Coldchain
545,200,643,Pusha-T
546,200,20314,No Malice
547,200,110,Pharrell Williams
548,201,23207,Nanci Fletcher
549,201,149,Nate Dogg
550,201,123,Dr. Dre
551,201,46,Snoop Dogg
552,201,170,Kurupt
553,201,169,Warren G
554,202,149,Nate Dogg
555,202,169,Warren G
556,204,263426,Crooked I
557,204,179,Joe Budden
558,204,262,Joell Ortiz
559,204,471,Royce da 5’9”
560,205,552087,Erick Andre Gonzalez
561,205,41465,Kenneth Gamble
562,205,644196,R. Chambers
563,205,32540,Thom Bell
564,205,145116,Steven Johnson
565,205,2,JAY-Z
566,206,54888,Nasty Beat Makers
567,206,151883,Jerry Goldsmith
568,206,1,Cam’ron
569,207,45,Eminem
570,208,643,Pusha-T
571,208,20314,No Malice
572,208,1339,Ab-Liva
573,208,27461,Chin Injeti
574,208,24741,DJ Khalil
575,208,72,Kanye West
576,209,643,Pusha-T
577,209,20314,No Malice
578,209,110,Pharrell Williams
579,209,1,Cam’ron
580,211,20314,No Malice
581,211,26832,Chad Hugo
582,211,110,Pharrell Williams
583,211,643,Pusha-T
584,212,66194,Doug King
585,212,7529,Willie D
586,212,127,Scarface
587,212,177,Bilal
588,212,643,Pusha-T
589,212,20314,No Malice
590,212,110,Pharrell Williams
591,213,1436,MC Ren
592,213,251136,Bruce Hornsby
593,213,71200,Big D The Impossible
594,213,59,2Pac
595,214,5839,Easy Mo Bee
596,214,22,The Notorious B.I.G.
597,215,4,Lil Wayne
598,216,1,Cam’ron
599,217,149,Nate Dogg
600,217,46,Snoop Dogg
601,218,10889,Shanell
602,218,4,Lil Wayne
603,219,1420914,Pop & Versatile
604,219,1012445,Richard Williams
605,219,1,Cam’ron
606,221,82,Puff Daddy
607,221,8597,Stevie J
608,221,2459,Layzie Bone
609,221,350,Krayzie Bone
610,221,2458,Bizzy Bone
611,221,22,The Notorious B.I.G.
612,223,2672,Hussein Fatal
613,223,34356,Hurt-M-Badd
614,223,3436,Prince Ital Joe
615,223,59,2Pac
616,223,2650,Kastro
617,223,1158,Yaki Kadafi
618,223,2257,Young Noble
619,224,181,Bob Dylan
620,225,335,Ron Browz
621,225,56,Nas
622,226,182,Yelawolf
623,226,78,Juelz Santana
624,227,22,The Notorious B.I.G.
625,228,184,Swizz Beatz
626,229,92,Nicki Minaj
627,230,67,Jeezy
628,230,13521,Shawty Redd
629,231,55370,Ronnie Wilson
630,231,8151,Olu Dara
631,231,55369,Oliver Scott
632,231,81,AZ
633,231,56,Nas
634,232,944,Marvin Gaye
635,232,37698,Ed Townsend
636,232,27663,The Heatmakerz
637,232,78,Juelz Santana
638,233,108,50 Cent
639,233,123,Dr. Dre
640,233,34793,Mike Elizondo
641,234,4,Lil Wayne
642,234,86,Birdman
643,235,2,JAY-Z
644,236,4,Lil Wayne
645,236,81254,D Baker
646,236,2,JAY-Z
647,237,1436,MC Ren
648,237,398699,O'Kelly Isley
649,237,49856,Rudolph Isley
650,237,2668,Ronald Isley
651,237,649699,Ernie Isley
652,237,398701,Marvin Isley
653,237,49857,Chris Jasper
654,237,186,Ice Cube
655,238,412398,Tom Keane
656,238,412282,Cynthia Weil
657,238,72,Kanye West
658,238,58311,David Foster
659,239,186,Ice Cube
660,239,644783,David Spradley
661,239,21594,Garry Shider
662,239,29736,Eric Sadler
663,239,675881,Roger Parker
664,239,1019218,Buddy Hankerson
665,239,672283,Charles Carter
666,239,351,George Clinton
667,239,179651,Steve Arrington
668,240,146,Mannie Fresh
669,240,86,Birdman
670,241,663442,Cheryl Cook
671,241,663443,Gwendolyn Chisholm
672,241,404406,J-Flexx
673,241,9909,Sylvia Robinson
674,241,66037,Sam Anderson
675,241,123,Dr. Dre
676,241,3444,Angie Stone
677,243,123,Dr. Dre
678,243,186,Ice Cube
679,243,1436,MC Ren
680,244,980620,Chris Stainton
681,244,41592,Ronnie Hudson
682,244,984968,Mikel Hooks
683,244,11749,Joe Cocker
684,244,404406,J-Flexx
685,244,980448,Woody Cunningham
686,244,733645,Norman Durham
687,244,473451,Larry Troutman
688,244,5347,Roger Troutman
689,244,123,Dr. Dre
690,244,59,2Pac
691,245,86,Birdman
692,245,4,Lil Wayne
693,245,130,Drake
694,246,1436,MC Ren
695,246,100939,Leon Haywood
696,246,1129,​The D.O.C.
697,246,123,Dr. Dre
698,246,46,Snoop Dogg
699,247,190,Mystikal
700,247,110,Pharrell Williams
701,247,26832,Chad Hugo
702,248,411,Lil' Kim
703,248,3264,Jermaine Dupri
704,249,72,Kanye West
705,250,4,Lil Wayne
706,250,146,Mannie Fresh
707,251,18413,Shirley Murdock
708,251,5347,Roger Troutman
709,251,473451,Larry Troutman
710,251,527,Shock G
711,251,2710,Money B
712,251,59,2Pac
713,252,4,Lil Wayne
714,253,33782,Luis Resto
715,253,558736,Steve King
716,253,45,Eminem
717,253,2,JAY-Z
718,254,6708,"Deric ""D-Dot"" Angelettie"
719,254,82,Puff Daddy
720,254,22,The Notorious B.I.G.
721,256,32,Ol' Dirty Bastard
722,257,108,50 Cent
723,257,6708,"Deric ""D-Dot"" Angelettie"
724,258,111,Ludacris
725,258,26832,Chad Hugo
726,258,110,Pharrell Williams
727,259,78,Juelz Santana
728,260,112,Timbaland
729,260,901,Amil
730,260,195,Memphis Bleek
731,260,2,JAY-Z
732,261,7561,Static Major
733,261,554,Tyga
734,261,27640,Kane Beatz
735,261,27628,Jasper Cameron
736,261,130,Drake
737,261,206,Jae Millz
738,261,270,Gudda Gudda
739,261,92,Nicki Minaj
740,261,4,Lil Wayne
741,263,2260,DJ Premier
742,263,143162,Screamin' Jay Hawkins
743,263,22,The Notorious B.I.G.
744,265,642139,D. Richards
745,265,642138,F. Perren
746,265,642137,A. Mizell
747,265,642136,B. Gordy
748,265,72,Kanye West
749,265,2,JAY-Z
750,266,649699,Ernie Isley
751,266,2,JAY-Z
752,266,191,Too $hort
753,266,51326,J-Runnah
754,266,398699,O'Kelly Isley
755,266,49856,Rudolph Isley
756,266,398701,Marvin Isley
757,266,2668,Ronald Isley
758,266,49857,Chris Jasper
759,267,27459,Sean C
760,267,56750,Dahoud Darien
761,267,358,Mary J. Blige
762,267,5886,Pain In Da Ass
763,267,27507,Knobody
764,267,358281,Marcus Miller
765,267,2,JAY-Z
766,268,12991,Ski Beatz
767,268,644821,C. Biggs
768,268,12326,D.Willz
769,268,2,JAY-Z
770,269,12991,Ski Beatz
771,269,2,JAY-Z
772,272,644834,Tyrone Thomas
773,272,644833,August Moon
774,272,105666,Potter
775,272,52117,Dennis Lambert
776,272,644801,J. Burks
777,272,204,Foxy Brown
778,272,2,JAY-Z
779,273,2260,DJ Premier
780,273,2,JAY-Z
781,274,431037,James Mtume
782,274,27594,Clark Kent
783,274,2,JAY-Z
784,275,27594,Clark Kent
785,275,582409,"Melvin ""Wah Wah"" Watson"
786,275,1132367,Leroy Emmanuel
787,275,382313,Hamilton Bohannon
788,275,2,JAY-Z
789,276,25560,Jaz-O
790,276,201,Sauce Money
791,276,2260,DJ Premier
792,276,2,JAY-Z
793,277,644839,F. Di Pasquale
794,277,2,JAY-Z
795,278,53528,K Rob
796,278,644840,The 24-Carat Black
797,278,195,Memphis Bleek
798,278,2,JAY-Z
799,280,186,Ice Cube
800,280,202,Big Daddy Kane
801,280,1884,Chuck D
802,280,55449,Keith Shocklee
803,280,29736,Eric Sadler
804,282,91562,Bass Brothers
805,282,45,Eminem
806,283,72,Kanye West
807,283,127,Scarface
808,283,119,Beanie Sigel
809,283,2,JAY-Z
810,284,20,Ghostface Killah
811,286,2256,E.D.I. Mean
812,286,2257,Young Noble
813,286,59,2Pac
814,287,4,Lil Wayne
815,287,34,Jadakiss
816,289,29736,Eric Sadler
817,289,1884,Chuck D
818,289,55447,Hank Shocklee
819,290,22,The Notorious B.I.G.
820,290,2,JAY-Z
821,290,208,Angela Winbush
822,290,5839,Easy Mo Bee
823,290,452033,René Moore
824,291,29322,Jerry Duplessis
825,291,467,Wyclef Jean
826,291,209,Canibus
827,292,20,Ghostface Killah
828,293,1057244,Howard Kaylan
829,293,1057243,Mark Volman
830,293,13,Gucci Mane
831,293,27665,Bangladesh
832,294,655941,Krazy Drayz
833,294,7857,Skoob
834,295,3,Fabolous
835,295,2,JAY-Z
836,295,211,Red Cafe
837,296,8597,Stevie J
838,296,29881,Nashiem Myrick
839,296,82,Puff Daddy
840,296,22,The Notorious B.I.G.
841,297,186,Ice Cube
842,298,123,Dr. Dre
843,298,46,Snoop Dogg
844,298,161,Big Pun
845,298,83,Fat Joe
846,299,92,Nicki Minaj
847,304,216,AMG
848,304,217,DJ Quik
849,305,219,Guru
850,305,2260,DJ Premier
851,307,1553,The Alchemist
852,307,27664,Deezle
853,307,78,Juelz Santana
854,307,3,Fabolous
855,307,4,Lil Wayne
856,308,1051,Mario Winans
857,308,33268,Chucky Thompson
858,308,22,The Notorious B.I.G.
859,308,45,Eminem
860,309,4709,No I.D.
861,309,223,Common
862,310,224,J Dilla
863,310,34694,Trugoy the Dove
864,310,51082,Posdnuos
865,311,960559,John Marascalco
866,311,42090,Sir Jinx
867,311,186,Ice Cube
868,312,229,Redman
869,312,228,Method Man
870,312,59,2Pac
871,312,3431,Daz Dillinger
872,312,170,Kurupt
873,313,1954,Just Blaze
874,313,3,Fabolous
875,314,230,Cassidy
876,314,184,Swizz Beatz
877,314,2,JAY-Z
878,315,3608,Erick Sermon
879,315,229,Redman
880,315,228,Method Man
881,316,75,Styles P
882,316,34,Jadakiss
883,316,245,Sheek Louch
884,316,232,Black Rob
885,316,77,DMX
886,316,82,Puff Daddy
887,316,249,Ma$e
888,320,8976,Johnny J
889,320,1158,Yaki Kadafi
890,320,2256,E.D.I. Mean
891,320,2672,Hussein Fatal
892,320,59,2Pac
893,321,238,Immortal Technique
894,322,30435,Nick Brongers
895,322,27612,40
896,322,662,Boi-1da
897,322,130,Drake
898,324,123,Dr. Dre
899,324,1456,Knoc-turn'al
900,324,45,Eminem
901,324,2470,Mel-Man
902,324,291,Xzibit
903,325,634556,Belinda Lipscomb
904,325,2524,Hi-Tek
905,325,388,Talib Kweli
906,326,464,Tha Dogg Pound
907,326,242,The Dramatics
908,326,46,Snoop Dogg
909,326,123,Dr. Dre
910,329,176,Black Thought
911,329,30569,Questlove
912,329,65357,Kamal Gray
913,329,5088,Tahir
914,329,316,Dice Raw
915,329,1082477,Andrew Noland
916,329,1014759,Claydes Smith
917,329,1041193,"Dennis ""D.T."" Thomas"
918,329,1154724,Don Boyce
919,329,966967,"George ""Funky"" Brown"
920,329,1042780,Gregory Webster
921,329,632258,Junie Morrison
922,329,574309,"Leroy ""Sugarfoot"" Bonner"
923,329,574310,"Marshall ""Rock"" Jones"
924,329,644802,"Marvin ""Merv"" Pierce"
925,329,1042781,Norman Napier
926,329,574311,"Ralph ""Pee Wee"" Middlebrooks"
927,329,1041197,Ricky West
928,329,1041196,"Robert ""Kool"" Bell"
929,329,684252,Robert Spike Mickens
930,329,966968,Robert Bell
931,330,8976,Johnny J
932,330,59,2Pac
933,331,191,Too $hort
934,331,28316,Shorty B
935,332,558736,Steve King
936,332,33782,Luis Resto
937,332,245,Sheek Louch
938,332,75,Styles P
939,332,45,Eminem
940,332,34,Jadakiss
941,333,644202,Mike Strange
942,333,21188,Hit-Boy
943,333,19829,Chase N. Cashe
944,333,45,Eminem
945,333,4,Lil Wayne
946,334,85,T.I.
947,335,34793,Mike Elizondo
948,335,33782,Luis Resto
949,335,45,Eminem
950,335,108,50 Cent
951,336,7226,DJ Polo
952,336,847,Kool G Rap
953,338,2260,DJ Premier
954,338,2,JAY-Z
955,339,674191,Channi Singh
956,339,674192,Stu Philips
957,339,403859,Glen A. Larson
958,339,38508,Panjabi MC
959,339,674193,Labh Janjua
960,339,2,JAY-Z
961,340,30963,Rick Rock
962,340,149,Nate Dogg
963,340,3,Fabolous
964,342,1954,Just Blaze
965,342,1,Cam’ron
966,342,2,JAY-Z
967,343,3295,Lil Rob
968,343,9768,Irv Gotti
969,343,204,Foxy Brown
970,343,2,JAY-Z
971,346,387713,Kleeer
972,346,980448,Woody Cunningham
973,346,1954,Just Blaze
974,346,2,JAY-Z
975,347,119,Beanie Sigel
976,347,2,JAY-Z
977,347,250,Freeway
978,348,1555,Havoc
979,348,122,Prodigy of Mobb Deep
980,349,2444,Pimp C
981,349,288,Bun B
982,349,642971,"Kyambo ""Hip Hop"" Joshua"
983,349,984659,Baligh Hamdi
984,349,112,Timbaland
985,349,2,JAY-Z
986,350,4,Lil Wayne
